repo;pouet;numL;page;page-href;linkToRepo;linkToDockerfile
"pikatyuu/my-first-infrastructure";"";"3";"Previous";"https://github.com/search?p=56&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/pikatyuu/my-first-infrastructure";"/pikatyuu/my-first-infrastructure/blob/1f982574fe359406a83f3153b0bf167cbe18be76/init/Dockerfile"
"cloudfoundry/garden-dockerfiles";"FROM ubuntu:trusty";"1";"Previous";"https://github.com/search?p=54&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/cloudfoundry/garden-dockerfiles";"/cloudfoundry/garden-dockerfiles/blob/911d640fd6a0e6e40d5d7fc5160202b4fcd1e068/ubuntu-bc/Dockerfile"
"vovaprog/learn";"FROM debian";"1";"Previous";"https://github.com/search?p=13&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/vovaprog/learn";"/vovaprog/learn/blob/ff07530b92c2314a9ccd1f1aec3c40d78288d75c/tools/docker_clean_debian/Dockerfile"
"dhgautam/helloworldjava";"vim \";"3";"Previous";"https://github.com/search?p=63&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dhgautam/helloworldjava";"/dhgautam/helloworldjava/blob/f04f3eb44f6ae3a59c1559aceae9451bef34ebfe/Dockerfile"
"brooksn/walk-to";"";"2";"Previous";"https://github.com/search?p=34&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/brooksn/walk-to";"/brooksn/walk-to/blob/8bb1ad6319eed70ea373d6879710f93f50a1f9c9/Dockerfile"
"talwrii/dockerjail";"RUN apt-get update -y";"3";"Previous";"https://github.com/search?p=4&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/talwrii/dockerjail";"/talwrii/dockerjail/blob/1ca1e3c1f080b684dbb0d8b603aeca8fac060f8a/machines/default/Dockerfile"
"maniankara/stackoverflow";"RUN apt-get install -y ansible";"4";"Previous";"https://github.com/search?p=33&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/maniankara/stackoverflow";"/maniankara/stackoverflow/blob/0042421bd42b5667ba4671fcfb711c0e5192c5e0/docker-ansible-jenkins/Dockerfile"
"indy-golang/managing-dependencies";"RUN apt-get install git golang -y --force-yes";"4";"Previous";"https://github.com/search?p=15&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/indy-golang/managing-dependencies";"/indy-golang/managing-dependencies/blob/26d7f11a1feb0515ade95bd2d0b5f5be4ee67a8e/1-simple-install/Dockerfile"
"GabJoe/utvecklingsmiljo";"RUN apt-get update";"4";"Previous";"https://github.com/search?p=31&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/GabJoe/utvecklingsmiljo";"/GabJoe/utvecklingsmiljo/blob/b79dd2326dde9248be865cb7ad7034165416ba5a/docker/delad/mysql/Dockerfile"
"Evertvandenbruel/yolo-octo-wallhack";"RUN apt-get install -y libpq-dev";"5";"Previous";"https://github.com/search?p=46&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Evertvandenbruel/yolo-octo-wallhack";"/Evertvandenbruel/yolo-octo-wallhack/blob/a2678869c95c313344926f5d7c89b3c0476924fa/Dockerfile"
