repo;pouet;numL;page;page-href;linkToRepo;linkToDockerfile
"dgageot/quine-relay";"FROM dgageot/quine:base";"1";"Previous";"https://github.com/search?p=87&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/scilab.dockerfile"
"zetaops/zcloud";"FROM ubuntu-debootstrap";"1";"Previous";"https://github.com/search?p=63&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/zetaops/zcloud";"/zetaops/zcloud/blob/967cc9cdecc865b26c0bc2853e210d97d5fa3505/containers/elk/old_containers/logspout/debug/Dockerfile"
"ant30/docker-haproxy-resolver";"RUN apt-get update && apt-get install strace";"3";"Previous";"https://github.com/search?p=1&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/ant30/docker-haproxy-resolver";"/ant30/docker-haproxy-resolver/blob/3e539ef7e31874b297a5bc27ef0bd99ec81cf9c5/haproxy/Dockerfile"
"bahlo/dockerfiles";"FROM node:0.10";"1";"Previous";"https://github.com/search?p=64&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/bahlo/dockerfiles";"/bahlo/dockerfiles/blob/90dfd4c27067e6243601cabc242a5f07e7a6d285/node-rsync/0.10/Dockerfile"
"troyan29/helloworld";"curl \";"4";"Previous";"https://github.com/search?p=54&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/troyan29/helloworld";"/troyan29/helloworld/blob/a4bddc51fc73db53f64c7f026c3556818ccf7da0/docker/base/Dockerfile"
"MrAlex94/Waterfox";"RUN apt-get update && apt-get install -qy snapcraft bzip2 curl && apt-get clean";"3";"Previous";"https://github.com/search?p=30&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/MrAlex94/Waterfox";"/MrAlex94/Waterfox/blob/527ce6b0ee8fd15fe88ed40d6b4f90e4753dca15/release/docker/firefox-snap/Dockerfile"
"MackeyRMS/dockerfiles-roles";"RUN apt-get install -y build-essential";"5";"Previous";"https://github.com/search?p=12&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/MackeyRMS/dockerfiles-roles";"/MackeyRMS/dockerfiles-roles/blob/49db0613695878e599eadd26b2f0d219f769d858/ubuntu14.04-ruby1.9.3-dependencies/Dockerfile"
"powareverb/docker-mono-armhf";"RUN apt-get update && apt-get -y install mono-runtime";"8";"Previous";"https://github.com/search?p=48&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/powareverb/docker-mono-armhf";"/powareverb/docker-mono-armhf/blob/61b0bd0c883d75908fac2c4fca1e287376d4044e/Dockerfile"
"etna-alternance/drone-php7-nginx";"RUN apt-get install -y nginx-extras";"4";"Previous";"https://github.com/search?p=15&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/etna-alternance/drone-php7-nginx";"/etna-alternance/drone-php7-nginx/blob/4dd523f2c935904a5d8510d5666cce2e0742c979/Dockerfile"
"dgageot/quine-relay";"";"2";"Previous";"https://github.com/search?p=83&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/gambas.dockerfile"
