repo;pouet;numL;page;page-href;linkToRepo;linkToDockerfile
"abhinavdahiya/grafana";"";"4";"Previous";"https://github.com/search?p=78&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/abhinavdahiya/grafana";"/abhinavdahiya/grafana/blob/cc08dc2553c6bc16b379e016f320bf2f7048a517/grafana/docker/debtest/Dockerfile"
"Evertvandenbruel/laughing-boo";"RUN apt-get install -y nodejs";"7";"Previous";"https://github.com/search?p=44&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Evertvandenbruel/laughing-boo";"/Evertvandenbruel/laughing-boo/blob/cd5b55d3f8dad58b31ae1aaece2e995dd67f01f4/Dockerfile"
"kamyh/pa-inphinity";"";"4";"Previous";"https://github.com/search?p=22&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/kamyh/pa-inphinity";"/kamyh/pa-inphinity/blob/56b38db381a81881c49df09ae74ffa571eea1177/Project/attempts_archives/test_sshd/Dockerfile"
"PontusPersson/docker-latex";"git \";"5";"Previous";"https://github.com/search?p=46&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/PontusPersson/docker-latex";"/PontusPersson/docker-latex/blob/38c9e37cd79c936f25bb24b7cc6c6da825d67f24/Dockerfile"
"pitechplus/carsharing-front-docker";"FROM node:6.5";"1";"Previous";"https://github.com/search?p=96&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/pitechplus/carsharing-front-docker";"/pitechplus/carsharing-front-docker/blob/416f59a09501833331e8f8636ec80ca6aec4385a/Dockerfile"
"AGrzes/presentation-git";"RUN apt-get update";"2";"Previous";"https://github.com/search?p=22&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/AGrzes/presentation-git";"/AGrzes/presentation-git/blob/0b45f33cf955a933b17ffa45eb218fc2acb2e6ac/docker/Dockerfile"
"zerotrustnetworks/ipsec_examples";"FROM ubuntu:trusty";"1";"Previous";"https://github.com/search?p=68&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/zerotrustnetworks/ipsec_examples";"/zerotrustnetworks/ipsec_examples/blob/01cf9d5498adb68cc77266b5147b3e61143b4665/Dockerfile"
"OpsTree/HandbooksTraining";"";"2";"Previous";"https://github.com/search?p=55&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/OpsTree/HandbooksTraining";"/OpsTree/HandbooksTraining/blob/ddcad01161335b1b582dffe6297415990910752f/git/Dockerfile"
"andrewfaria/docker";"";"2";"Previous";"https://github.com/search?p=8&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/andrewfaria/docker";"/andrewfaria/docker/blob/f72489c2d5c17ca71bb3ec564270e5b15c26daf9/dev-ubuntu/Dockerfile"
"aviatadocker/gam-node";"RUN apt-get -y install build-essential";"5";"Previous";"https://github.com/search?p=4&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/aviatadocker/gam-node";"/aviatadocker/gam-node/blob/859345bf62ae641202a9a7f0adf1f67896b47a20/Dockerfile"
"yamamuteki/paiza-docker";"RUN apt-get install -y binutils";"7";"Previous";"https://github.com/search?p=4&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/yamamuteki/paiza-docker";"/yamamuteki/paiza-docker/blob/8b3e92dc6af4168a67fe46ad4ae37543306a1c02/image-ubuntu-dev/Dockerfile"
"Evertvandenbruel/laughing-boo";"FROM ruby:2.2";"1";"Previous";"https://github.com/search?p=44&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Evertvandenbruel/laughing-boo";"/Evertvandenbruel/laughing-boo/blob/cd5b55d3f8dad58b31ae1aaece2e995dd67f01f4/Dockerfile"
"dgageot/quine-relay";"RUN apt-get update -qq && apt-get install -y octave";"3";"Previous";"https://github.com/search?p=85&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/octave.dockerfile"
"MackeyRMS/dockerfiles-roles";"RUN apt-get install -y build-essential";"5";"Previous";"https://github.com/search?p=11&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/MackeyRMS/dockerfiles-roles";"/MackeyRMS/dockerfiles-roles/blob/49db0613695878e599eadd26b2f0d219f769d858/ubuntu14.04-ruby1.9.3-dependencies/Dockerfile"
"AlexDmr/tacthab";"RUN apt-get -o Dpkg::Options::=""--force-confdef"" -o Dpkg::Options::=""--force-confold"" dist-upgrade";"3";"Previous";"https://github.com/search?p=43&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/AlexDmr/tacthab";"/AlexDmr/tacthab/blob/2ba53193d4c854995b4189339725ca07bcaa44fd/Docker/ubuntuPlusPlus/Dockerfile"
"antonio-fasolato/dockerrecipes";"";"2";"Previous";"https://github.com/search?p=26&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/antonio-fasolato/dockerrecipes";"/antonio-fasolato/dockerrecipes/blob/a2e38dedb57d1bae5f8b498c2ae1ef4565cdd74e/Dockerfile"
"ajoy123/pyplay";"RUN pip install Flask";"6";"Previous";"https://github.com/search?p=97&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/ajoy123/pyplay";"/ajoy123/pyplay/blob/a976d3973c25e9fd2ae6b21286bf0a339616975b/Dockerfile"
"transistor1/netextender";"";"4";"Previous";"https://github.com/search?p=65&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/transistor1/netextender";"/transistor1/netextender/blob/eddcf4d954cea47ea0eb84988f2880b39455cef6/remmina/Dockerfile"
"yhung124/multi-docker";"RUN apt-get update";"3";"Previous";"https://github.com/search?p=30&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/yhung124/multi-docker";"/yhung124/multi-docker/blob/279efee86d47864fb2952cb9a21de71cf4cd6a7e/project-1/Dockerfile"
"elijahc/dockerfiles";"vim \";"5";"Previous";"https://github.com/search?p=73&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/elijahc/dockerfiles";"/elijahc/dockerfiles/blob/22a1c27d25b0a76157b939787fcf24256e16cc1c/base/jessie/Dockerfile"
"dgageot/quine-relay";"FROM dgageot/quine:base";"1";"Previous";"https://github.com/search?p=84&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/lua.dockerfile"
"locatw/AppHost";"FROM ubuntu:xenial-20161010";"1";"Previous";"https://github.com/search?p=28&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/locatw/AppHost";"/locatw/AppHost/blob/37427ff7a7015a7690e8c2f16beac600e8ad6be6/Mono/Dockerfile"
