page;page-href;linkToDockerfile
"Previous";"https://github.com/search?p=44&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/fbdapp/service_debian/blob/2f0444b970fd3c86d2baed227670d3d5262a85b0/service_debian/Dockerfile"
"Previous";"https://github.com/search?p=68&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/tejksat/docker-and-git/blob/f01790293536a861eb8ede88db5a1e727701f191/Dockerfile"
"Previous";"https://github.com/search?p=56&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Daxten/git-client/blob/5b6b48bb4e9f0a0dbac22c5fbf07d4d2a384a856/Dockerfile"
"Previous";"https://github.com/search?p=93&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dave-tucker/dockerfiles/blob/36b501282d1d8dd7a23118945169bcc5e6b44442/shellcheck/Dockerfile"
"Previous";"https://github.com/search?p=74&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/cloudfoundry/runtime-ci/blob/8fd52ed0b4a1d016c498571c499e26cf25361de0/scripts/ci/request-pm-input/Dockerfile"
"Previous";"https://github.com/search?p=62&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/jlrigau/ci-mesos/blob/01e882d4e20d7f2979b249716151a457974a77ed/maven-git/Dockerfile"
"Previous";"https://github.com/search?p=66&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/justone/docker-dev-envs/blob/f27e4efd1249e77c89a9d37c0c5a5ff265ecfa6c/python/Dockerfile"
"Previous";"https://github.com/search?p=4&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/bigchat/docker-java/blob/c49f9c4c1752821efba5f5c2bc5f9c4af9b6a105/Dockerfile"
"Previous";"https://github.com/search?p=97&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/yuvaraj951/icongrafana/blob/bf8148f5abd596eac71a85a91a9142a1d09e94cf/docker/debtest/Dockerfile"
"Previous";"https://github.com/search?p=11&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/qnib/docker-rpi-java8/blob/bcd5d5803c4d0d4ccecc42a230562035dcade1a4/Dockerfile"
"Previous";"https://github.com/search?p=70&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/uveio/grafana/blob/1ee2f2bfdcbfe07ff7241accd6f1a1b09370a20d/docker/debtest/Dockerfile"
"Previous";"https://github.com/search?p=36&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/SoloMagic/golang_docker/blob/b14ad998448d39841ec6e9454cb890475d64ffef/ubuntu/Dockerfile"
"Previous";"https://github.com/search?p=9&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/wbwangk/nginx/blob/a216e8b55b51a699a78a2265609588dba724715d/Dockerfile"
"Previous";"https://github.com/search?p=12&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Fischer-L/fxos-icons/blob/6c260661c26386666f654915a7cc01b70edbe07f/Dockerfile"
"Previous";"https://github.com/search?p=2&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/gerchardon/envs/blob/e2fb8236ebdecbc5a01ae13f8a5c8fadb7037d14/gerchardon/Dockerfile"
"Previous";"https://github.com/search?p=63&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/CancerCollaboratory/dockstore-tool-samtools-index/blob/149cd6473e5e97eca0af7ff0a069f6dff0bec911/Dockerfile"
"Previous";"https://github.com/search?p=14&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/ohac/dockerfiles/blob/8a17e76860a000f98953b663958cbc03de883f63/base/Dockerfile"
"Previous";"https://github.com/search?p=98&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dnotez/devops/blob/6fc23e8207540ab8962fd740252dee6f5b580b9a/docker/base-slave-jenkins/Dockerfile"
"Previous";"https://github.com/search?p=25&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/timhudson/pugholdit/blob/7f7f9265b617946a1fe35d839675aec7093bd4e1/Dockerfile"
"Previous";"https://github.com/search?p=15&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/ohac/dockerfiles/blob/8a17e76860a000f98953b663958cbc03de883f63/base/Dockerfile"
"Previous";"https://github.com/search?p=50&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/cloud-coder/docker-lab-2016/blob/1441eb2b5da81830f90cd6e746d37b23d5f09aa8/part-3/elk/elasticsearch/Dockerfile"
"Previous";"https://github.com/search?p=47&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/docker-build/bind9/blob/ec4a6b4128f393dd4dd248e79e8535d8cf2bd6ae/Dockerfile"
